77	65	2019-07-01T06:25:00.000	{913,3360,3336,2812}
77	28	2019-07-01T06:25:00.000	{1019,2810,765,2236,1991,88}
77	42	2019-07-01T06:25:00.000	{961,1533,2529,4311,2492}
77	72	2019-07-01T06:25:00.000	{4262,3357,1898,2432,990}
77	70	2019-07-01T06:25:00.000	{2077,1038,4491,901,644,875}
77	30	2019-07-01T06:25:00.000	{1016,2991,2821,19}
77	83	2019-07-01T06:25:00.000	{835,318,1894,3936,315}
77	20	2019-07-01T06:25:00.000	{3425,567,2819,3710,283}
77	15	2019-07-01T06:25:00.000	{1051,3246,378,1694,4105}
77	1	2019-07-01T06:25:00.000	{1573,234,751,1789,2382}
77	89	2019-07-01T06:25:00.000	{1203,1490,3532,4500,632}
77	3	2019-07-01T06:25:00.000	{2283,4021,3927,2298,4545}
78	89	2019-07-01T06:30:00.000	{632,2724,2836,2974,594}
78	57	2019-07-01T06:30:00.000	{1782,4544,2287,1277}
78	1	2019-07-01T06:30:00.000	{2382,1460,633,3701,2942}
78	82	2019-07-01T06:30:00.000	{894,108,2835,19,2821,2991}
78	28	2019-07-01T06:30:00.000	{88,3662,876,2824,191}
78	42	2019-07-01T06:30:00.000	{2492,493,498,2802,2832}
78	70	2019-07-01T06:30:00.000	{875,1951,131,1853,2463}
78	83	2019-07-01T06:30:00.000	{315,3040,3391,1768,2034}
78	62	2019-07-01T06:30:00.000	{2893,3289,2415,3429,2474}
78	55	2019-07-01T06:30:00.000	{2950,4352,4508,1977,1964,3398}
78	30	2019-07-01T06:30:00.000	{19,2835,108,894,2950,4352}
78	14	2019-07-01T06:30:00.000	{1452,302,4262,3357,1898,2432}
78	94	2019-07-01T06:30:00.000	{1977,4508,4352,2950,894}
78	72	2019-07-01T06:30:00.000	{990,2286,1405,2767,3678,1678}
78	3	2019-07-01T06:30:00.000	{4545,214,3160,2036,79,3700}
78	15	2019-07-01T06:30:00.000	{4105,3002,1119,2785,3341}
78	2	2019-07-01T06:30:00.000	{4405,373,4549,821,2710,80}
78	26	2019-07-01T06:30:00.000	{2803,542,500,4495,4113}
78	13	2019-07-01T06:30:00.000	{3140,3123,4307,622,4446}
78	20	2019-07-01T06:30:00.000	{283,4046,3553,794,2159}
78	65	2019-07-01T06:30:00.000	{2812,3452,3559,3784,3463}
78	73	2019-07-01T06:30:00.000	{2343,825,1798,1229,3229}
79	57	2019-07-01T06:35:00.000	{1277,1349,3251,1434,2260}
79	55	2019-07-01T06:35:00.000	{3398,1489,4168,2288,3797,663}
79	3	2019-07-01T06:35:00.000	{3700,3135,1461,1936,4446}
79	83	2019-07-01T06:35:00.000	{2034,651,1675,1216,3436}
79	23	2019-07-01T06:35:00.000	{730,2009,3152,3788}
79	2	2019-07-01T06:35:00.000	{80,2416,33,2786,3974,4216}
79	15	2019-07-01T06:35:00.000	{3341,3596,3810,2251,2178,243}
79	28	2019-07-01T06:35:00.000	{191,1927,4223,805,1548}
79	94	2019-07-01T06:35:00.000	{894,108,2835,19,2821,2991}
79	14	2019-07-01T06:35:00.000	{2432,990,2286,1405,2767}
79	70	2019-07-01T06:35:00.000	{2463,19,2821,2991,1926}
79	89	2019-07-01T06:35:00.000	{594,2891,4225,2434,4513}
79	13	2019-07-01T06:35:00.000	{4446,755,3515,4220,173}
79	26	2019-07-01T06:35:00.000	{4113,3867,4240,4316,2761}
79	30	2019-07-01T06:35:00.000	{4352,4508,1977,1964,3398,1489}
79	65	2019-07-01T06:35:00.000	{3463,1585,1473,3855,4417}
79	82	2019-07-01T06:35:00.000	{2991,1016,1433,750,220}
79	73	2019-07-01T06:35:00.000	{3229,3072,905,249,3276,262}
79	93	2019-07-01T06:35:00.000	{3015,3505,838,503,3033}
79	62	2019-07-01T06:35:00.000	{2474,3980,2538,2454,1007}
79	20	2019-07-01T06:35:00.000	{2159,2271,1646,182,2120}
79	42	2019-07-01T06:35:00.000	{2832,1548,805,4223,1927,191}
79	1	2019-07-01T06:35:00.000	{2942,3920,1232,1201,1721,1303}
79	72	2019-07-01T06:35:00.000	{1678,920,2131,3684,46}
80	3	2019-07-01T06:40:00.000	{4446,755,3515,4220,173}
80	26	2019-07-01T06:40:00.000	{2761,3770,4130,3210,854,65}
80	73	2019-07-01T06:40:00.000	{262,1203,1490,3532,4500}
80	82	2019-07-01T06:40:00.000	{220,2247,2420,3378,1403,3989}
80	42	2019-07-01T06:40:00.000	{191,2824,876,3662,88}
80	15	2019-07-01T06:40:00.000	{243,4135,526,3026,2761}
80	65	2019-07-01T06:40:00.000	{4417,1699,1665,686,2435,148}
80	13	2019-07-01T06:40:00.000	{173,2401,2310,3583,2256}
80	93	2019-07-01T06:40:00.000	{3033,2573,2201,4101}
80	20	2019-07-01T06:40:00.000	{2120,3938,3991,2326,3814}
80	14	2019-07-01T06:40:00.000	{2767,3678,1678,920,2131}
80	55	2019-07-01T06:40:00.000	{663,1022,55,276,376}
80	83	2019-07-01T06:40:00.000	{3436,1953,3873,822,3058,3964}
80	94	2019-07-01T06:40:00.000	{2991,1016,1433,750,220}
80	47	2019-07-01T06:40:00.000	{2309,1158,4192,4525,4425}
80	28	2019-07-01T06:40:00.000	{1548,2832,2802,498,493,2492}
80	2	2019-07-01T06:40:00.000	{4216,3064,337,3365,1818}
80	23	2019-07-01T06:40:00.000	{3788,527,4573,4181,3685}
80	89	2019-07-01T06:40:00.000	{4513,828,1415,1462,270,4263}
80	30	2019-07-01T06:40:00.000	{1489,4168,2288,3797,663}
80	0	2019-07-01T06:40:00.000	{3776,2604,1805,3850,2160}
80	54	2019-07-01T06:40:00.000	{2185,3073,1285,4425,3052}
80	72	2019-07-01T06:40:00.000	{46,3334,2939,1495,1410}
80	1	2019-07-01T06:40:00.000	{1303,1452,302,4262,3357}
80	62	2019-07-01T06:40:00.000	{1007,930,2494,3208,3250,532}
80	57	2019-07-01T06:40:00.000	{2260,3281,4341,2751,2739}
